# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    4.64000000e+00  3.88843623e-02  3.52068231e-01  7.47171821e-02  1.27571968e-01  6.17443840e-02  3.41488731e-02  
    4.66000000e+00  3.84813847e-02  3.50235657e-01  7.38674711e-02  1.26251846e-01  6.12658929e-02  3.38307523e-02  
    4.68000000e+00  3.80789997e-02  3.48405943e-01  7.30212764e-02  1.24937360e-01  6.08005112e-02  3.35125450e-02  
    4.70000000e+00  3.76771360e-02  3.46577435e-01  7.21746108e-02  1.23629514e-01  6.03476871e-02  3.32023377e-02  
    4.72000000e+00  3.72759717e-02  3.44753226e-01  7.13288316e-02  1.22328201e-01  5.99053833e-02  3.28908011e-02  
    4.74000000e+00  3.68764662e-02  3.42932077e-01  7.04811023e-02  1.21035542e-01  5.94757840e-02  3.25799940e-02  
    4.76000000e+00  3.64806395e-02  3.41118998e-01  6.96258441e-02  1.19744615e-01  5.90641127e-02  3.22833651e-02  
    4.78000000e+00  3.60867718e-02  3.39311664e-01  6.87694650e-02  1.18460152e-01  5.86610345e-02  3.19941146e-02  
    4.80000000e+00  3.56943929e-02  3.37506517e-01  6.79146373e-02  1.17181412e-01  5.82620408e-02  3.17103783e-02  
    4.82000000e+00  3.53043435e-02  3.35704868e-01  6.70606606e-02  1.15908264e-01  5.78665407e-02  3.14358335e-02  
    4.84000000e+00  3.49174576e-02  3.33905607e-01  6.62088878e-02  1.14641277e-01  5.74847535e-02  3.11686761e-02  
    4.86000000e+00  3.45333732e-02  3.32107575e-01  6.53579484e-02  1.13379896e-01  5.71126252e-02  3.09016245e-02  
    4.88000000e+00  3.41531661e-02  3.30317471e-01  6.45088324e-02  1.12124839e-01  5.67548792e-02  3.06467708e-02  
    4.90000000e+00  3.37746335e-02  3.28532658e-01  6.36651662e-02  1.10879968e-01  5.64074128e-02  3.03983422e-02  
    4.92000000e+00  3.33985928e-02  3.26752627e-01  6.28225105e-02  1.09640048e-01  5.60689086e-02  3.01479210e-02  
    4.94000000e+00  3.30253698e-02  3.24982670e-01  6.19845345e-02  1.08407372e-01  5.57363428e-02  2.99039757e-02  
    4.96000000e+00  3.26537375e-02  3.23217078e-01  6.11547556e-02  1.07184523e-01  5.54102842e-02  2.96640226e-02  
    4.98000000e+00  3.22835419e-02  3.21452276e-01  6.03343403e-02  1.05977714e-01  5.50837844e-02  2.94344743e-02  
    5.00000000e+00  3.19153152e-02  3.19689966e-01  5.95183404e-02  1.04786627e-01  5.47642714e-02  2.92101685e-02  
    5.02000000e+00  3.15485002e-02  3.17932865e-01  5.87088932e-02  1.03607319e-01  5.44518083e-02  2.89810243e-02  
    5.04000000e+00  3.11821410e-02  3.16178991e-01  5.79058421e-02  1.02437899e-01  5.41500302e-02  2.87397515e-02  
    5.06000000e+00  3.08157460e-02  3.14426552e-01  5.71108946e-02  1.01277160e-01  5.38590649e-02  2.84975598e-02  
    5.08000000e+00  3.04497057e-02  3.12677214e-01  5.63246581e-02  1.00123983e-01  5.35788022e-02  2.82541251e-02  
    5.10000000e+00  3.00836404e-02  3.10930190e-01  5.55449457e-02  9.89780948e-02  5.33110994e-02  2.80107205e-02  
    5.12000000e+00  2.97186967e-02  3.09185886e-01  5.47698016e-02  9.78409063e-02  5.30467368e-02  2.77666810e-02  
    5.14000000e+00  2.93542551e-02  3.07446363e-01  5.39993978e-02  9.67132985e-02  5.27909313e-02  2.75312853e-02  
    5.16000000e+00  2.89895744e-02  3.05709300e-01  5.32282532e-02  9.55938495e-02  5.25508460e-02  2.72977511e-02  
    5.18000000e+00  2.86263240e-02  3.03978705e-01  5.24564573e-02  9.44803521e-02  5.23254679e-02  2.70754822e-02  
    5.20000000e+00  2.82658884e-02  3.02257591e-01  5.16786871e-02  9.33667654e-02  5.21139406e-02  2.68589871e-02  
    5.22000000e+00  2.79071748e-02  3.00540908e-01  5.09022582e-02  9.22591541e-02  5.19096234e-02  2.66460084e-02  
    5.24000000e+00  2.75513801e-02  2.98828617e-01  5.01243175e-02  9.11542934e-02  5.17210874e-02  2.64379737e-02  
    5.26000000e+00  2.71991996e-02  2.97119201e-01  4.93473845e-02  9.00582963e-02  5.15396768e-02  2.62391085e-02  
    5.28000000e+00  2.68509936e-02  2.95415147e-01  4.85718533e-02  8.89739313e-02  5.13655457e-02  2.60502604e-02  
    5.30000000e+00  2.65056393e-02  2.93715571e-01  4.77981489e-02  8.78993593e-02  5.11967625e-02  2.58672282e-02  
    5.32000000e+00  2.61641404e-02  2.92021242e-01  4.70213063e-02  8.68299006e-02  5.10325375e-02  2.56957959e-02  
    5.34000000e+00  2.58262779e-02  2.90332195e-01  4.62448830e-02  8.57702083e-02  5.08717570e-02  2.55298107e-02  
    5.36000000e+00  2.54927156e-02  2.88651577e-01  4.54726844e-02  8.47202215e-02  5.07168846e-02  2.53738656e-02  
    5.38000000e+00  2.51620316e-02  2.86977816e-01  4.47060297e-02  8.36784921e-02  5.05651754e-02  2.52205160e-02  
    5.40000000e+00  2.48324661e-02  2.85307635e-01  4.39485688e-02  8.26458213e-02  5.04168667e-02  2.50685652e-02  
    5.42000000e+00  2.45043399e-02  2.83643394e-01  4.32035356e-02  8.16239955e-02  5.02740437e-02  2.49157698e-02  
    5.44000000e+00  2.41773442e-02  2.81983151e-01  4.24678309e-02  8.06092623e-02  5.01362807e-02  2.47597556e-02  
    5.46000000e+00  2.38496493e-02  2.80325411e-01  4.17383256e-02  7.96002571e-02  5.00015293e-02  2.46044826e-02  
    5.48000000e+00  2.35220354e-02  2.78670402e-01  4.10145193e-02  7.86016853e-02  4.98732828e-02  2.44480781e-02  
    5.50000000e+00  2.31935010e-02  2.77016327e-01  4.02980421e-02  7.76144239e-02  4.97568186e-02  2.42913499e-02  
    5.52000000e+00  2.28651001e-02  2.75365080e-01  3.95845172e-02  7.66393113e-02  4.96589698e-02  2.41372727e-02  
    5.54000000e+00  2.25358814e-02  2.73715217e-01  3.88807726e-02  7.56721002e-02  4.95699665e-02  2.39769920e-02  
    5.56000000e+00  2.22065630e-02  2.72068861e-01  3.81840808e-02  7.47098704e-02  4.94892970e-02  2.38110009e-02  
    5.58000000e+00  2.18786069e-02  2.70428235e-01  3.74929299e-02  7.37532180e-02  4.94167199e-02  2.36490288e-02  
    5.60000000e+00  2.15531761e-02  2.68794349e-01  3.68056089e-02  7.28014970e-02  4.93513314e-02  2.34916887e-02  
    5.62000000e+00  2.12309382e-02  2.67169002e-01  3.61188358e-02  7.18595456e-02  4.92923380e-02  2.33373771e-02  
    5.64000000e+00  2.09129502e-02  2.65549952e-01  3.54263043e-02  7.09285243e-02  4.92438730e-02  2.31923536e-02  
    5.66000000e+00  2.05976267e-02  2.63939426e-01  3.47320418e-02  7.00023624e-02  4.92016637e-02  2.30578600e-02  
    5.68000000e+00  2.02850842e-02  2.62336804e-01  3.40383531e-02  6.90792405e-02  4.91672112e-02  2.29343210e-02  
    5.70000000e+00  1.99756651e-02  2.60736187e-01  3.33440257e-02  6.81616848e-02  4.91368081e-02  2.28104460e-02  
    5.72000000e+00  1.96696802e-02  2.59138283e-01  3.26485191e-02  6.72540738e-02  4.91123608e-02  2.26841992e-02  
    5.74000000e+00  1.93671389e-02  2.57547744e-01  3.19560455e-02  6.63531285e-02  4.90947057e-02  2.25655598e-02  
    5.76000000e+00  1.90677826e-02  2.55961881e-01  3.12643930e-02  6.54588852e-02  4.90790847e-02  2.24501078e-02  
    5.78000000e+00  1.87711214e-02  2.54381751e-01  3.05732879e-02  6.45670027e-02  4.90649664e-02  2.23395149e-02  
    5.80000000e+00  1.84771387e-02  2.52807253e-01  2.98850002e-02  6.36859880e-02  4.90494737e-02  2.22414574e-02  
    5.82000000e+00  1.81848274e-02  2.51239493e-01  2.92032936e-02  6.28153595e-02  4.90328635e-02  2.21479739e-02  
    5.84000000e+00  1.78922442e-02  2.49677199e-01  2.85307966e-02  6.19532289e-02  4.90219161e-02  2.20467403e-02  
    5.86000000e+00  1.75997478e-02  2.48116200e-01  2.78648723e-02  6.10997406e-02  4.90180674e-02  2.19440349e-02  
    5.88000000e+00  1.73074332e-02  2.46557987e-01  2.72066848e-02  6.02516202e-02  4.90148692e-02  2.18418052e-02  
    5.90000000e+00  1.70150227e-02  2.45002764e-01  2.65583803e-02  5.94106797e-02  4.90138384e-02  2.17413563e-02  
    5.92000000e+00  1.67231224e-02  2.43451627e-01  2.59173600e-02  5.85773408e-02  4.90202299e-02  2.16392865e-02  
    5.94000000e+00  1.64321460e-02  2.41908006e-01  2.52854924e-02  5.77524225e-02  4.90361050e-02  2.15288090e-02  
    5.96000000e+00  1.61429441e-02  2.40369930e-01  2.46621194e-02  5.69375583e-02  4.90582869e-02  2.14258884e-02  
    5.98000000e+00  1.58557394e-02  2.38834047e-01  2.40446267e-02  5.61353983e-02  4.90839991e-02  2.13256882e-02  
    6.00000000e+00  1.55717461e-02  2.37299617e-01  2.34290449e-02  5.53450204e-02  4.91147695e-02  2.12294421e-02  
    6.02000000e+00  1.52905963e-02  2.35770830e-01  2.28182069e-02  5.45633956e-02  4.91520351e-02  2.11373836e-02  
    6.04000000e+00  1.50108126e-02  2.34250896e-01  2.22109688e-02  5.37874661e-02  4.91925094e-02  2.10435195e-02  
    6.06000000e+00  1.47342113e-02  2.32739966e-01  2.16012868e-02  5.30162026e-02  4.92422237e-02  2.09470056e-02  
    6.08000000e+00  1.44617751e-02  2.31236991e-01  2.09882837e-02  5.22500859e-02  4.92972417e-02  2.08541664e-02  
    6.10000000e+00  1.41922871e-02  2.29743673e-01  2.03776875e-02  5.14839972e-02  4.93518892e-02  2.07704097e-02  
    6.12000000e+00  1.39256820e-02  2.28255486e-01  1.97675705e-02  5.07242539e-02  4.94070816e-02  2.06982979e-02  
    6.14000000e+00  1.36622769e-02  2.26774342e-01  1.91589018e-02  4.99728222e-02  4.94674879e-02  2.06341550e-02  
    6.16000000e+00  1.34009339e-02  2.25299868e-01  1.85504412e-02  4.92265410e-02  4.95310770e-02  2.05727692e-02  
    6.18000000e+00  1.31416110e-02  2.23829805e-01  1.79431750e-02  4.84833733e-02  4.95940142e-02  2.05080248e-02  
    6.20000000e+00  1.28842242e-02  2.22362557e-01  1.73346375e-02  4.77443086e-02  4.96585750e-02  2.04448373e-02  
    6.22000000e+00  1.26285413e-02  2.20900068e-01  1.67280456e-02  4.70113418e-02  4.97207703e-02  2.03809913e-02  
    6.24000000e+00  1.23741611e-02  2.19443808e-01  1.61286549e-02  4.62835640e-02  4.97870067e-02  2.03235981e-02  
    6.26000000e+00  1.21189850e-02  2.17991796e-01  1.55394266e-02  4.55579548e-02  4.98577216e-02  2.02698164e-02  
    6.28000000e+00  1.18653884e-02  2.16545963e-01  1.49575509e-02  4.48391503e-02  4.99363170e-02  2.02158035e-02  
    6.30000000e+00  1.16149903e-02  2.15103657e-01  1.43830848e-02  4.41325381e-02  5.00115869e-02  2.01635192e-02  
    6.32000000e+00  1.13680528e-02  2.13665183e-01  1.38168758e-02  4.34391777e-02  5.00838306e-02  2.01122393e-02  
    6.34000000e+00  1.11236818e-02  2.12230048e-01  1.32592763e-02  4.27573761e-02  5.01594217e-02  2.00617423e-02  
    6.36000000e+00  1.08808132e-02  2.10800173e-01  1.27083303e-02  4.20836054e-02  5.02413868e-02  2.00038728e-02  
    6.38000000e+00  1.06401581e-02  2.09374900e-01  1.21655883e-02  4.14207574e-02  5.03256403e-02  1.99367849e-02  
    6.40000000e+00  1.04020980e-02  2.07952025e-01  1.16315194e-02  4.07679661e-02  5.04078978e-02  1.98689965e-02  
    6.42000000e+00  1.01660471e-02  2.06534108e-01  1.11027783e-02  4.01232429e-02  5.04965289e-02  1.97998088e-02  
    6.44000000e+00  9.93187251e-03  2.05123128e-01  1.05804537e-02  3.94846675e-02  5.05880719e-02  1.97343426e-02  
    6.46000000e+00  9.70011927e-03  2.03717540e-01  1.00589054e-02  3.88503578e-02  5.06807533e-02  1.96797814e-02  
    6.48000000e+00  9.47241648e-03  2.02324760e-01  9.53790775e-03  3.82175041e-02  5.07784053e-02  1.96311459e-02  
    6.50000000e+00  9.24829098e-03  2.00940961e-01  9.01929651e-03  3.75858341e-02  5.08738988e-02  1.95856085e-02  
    6.52000000e+00  9.02702458e-03  1.99564323e-01  8.50155994e-03  3.69539942e-02  5.09686814e-02  1.95461644e-02  
    6.54000000e+00  8.80796702e-03  1.98189375e-01  7.98342662e-03  3.63282418e-02  5.10616047e-02  1.95026674e-02  
    6.56000000e+00  8.59136886e-03  1.96818287e-01  7.46867477e-03  3.57092109e-02  5.11591278e-02  1.94582017e-02  
    6.58000000e+00  8.37761124e-03  1.95451467e-01  6.95982249e-03  3.50977248e-02  5.12604849e-02  1.94177720e-02  
    6.60000000e+00  8.16609805e-03  1.94091848e-01  6.45866269e-03  3.44873690e-02  5.13661702e-02  1.93784383e-02  
    6.62000000e+00  7.95740553e-03  1.92740732e-01  5.96672784e-03  3.38787254e-02  5.14775200e-02  1.93450657e-02  
    6.64000000e+00  7.75258298e-03  1.91393974e-01  5.49053340e-03  3.32754464e-02  5.15842901e-02  1.93238995e-02  
    6.66000000e+00  7.55126604e-03  1.90050297e-01  5.03498022e-03  3.26801155e-02  5.16878168e-02  1.93139100e-02  
    6.68000000e+00  7.35393972e-03  1.88709972e-01  4.59963049e-03  3.20943069e-02  5.17932297e-02  1.93025261e-02  
    6.70000000e+00  7.16023673e-03  1.87375178e-01  4.18929600e-03  3.15159555e-02  5.18986822e-02  1.92849915e-02  
    6.72000000e+00  6.96965340e-03  1.86042719e-01  3.81699467e-03  3.09451038e-02  5.20026122e-02  1.92644201e-02  
    6.74000000e+00  6.78249930e-03  1.84712815e-01  3.48744788e-03  3.03871984e-02  5.21015590e-02  1.92448540e-02  
    6.76000000e+00  6.59895372e-03  1.83388391e-01  3.20432379e-03  2.98384565e-02  5.21992458e-02  1.92244497e-02  
    6.78000000e+00  6.41976971e-03  1.82070303e-01  2.97808380e-03  2.93012837e-02  5.23000188e-02  1.92005225e-02  
    6.80000000e+00  6.24564361e-03  1.80756296e-01  2.81760853e-03  2.87768660e-02  5.24000980e-02  1.91620918e-02  
    6.82000000e+00  6.07635340e-03  1.79448075e-01  2.73294469e-03  2.82580556e-02  5.24984583e-02  1.91175090e-02  
    6.84000000e+00  5.91143525e-03  1.78144526e-01  2.72648574e-03  2.77458355e-02  5.25968496e-02  1.90716111e-02  
    6.86000000e+00  5.75080397e-03  1.76844959e-01  2.79794020e-03  2.72371150e-02  5.26988444e-02  1.90317400e-02  
    6.88000000e+00  5.59424249e-03  1.75553561e-01  2.94359834e-03  2.67230552e-02  5.28083502e-02  1.89966584e-02  
    6.90000000e+00  5.44357048e-03  1.74269408e-01  3.15645182e-03  2.62075924e-02  5.29249941e-02  1.89697196e-02  
    6.92000000e+00  5.29957393e-03  1.72991875e-01  3.42551508e-03  2.56982750e-02  5.30406499e-02  1.89450777e-02  
    6.94000000e+00  5.16121436e-03  1.71720973e-01  3.74320284e-03  2.51923444e-02  5.31529831e-02  1.89260760e-02  
    6.96000000e+00  5.02853736e-03  1.70458115e-01  4.09740041e-03  2.46880109e-02  5.32640907e-02  1.89192838e-02  
    6.98000000e+00  4.90248997e-03  1.69200691e-01  4.47955130e-03  2.41836329e-02  5.33816148e-02  1.89254050e-02  
    7.00000000e+00  4.78344813e-03  1.67949489e-01  4.87714703e-03  2.36813625e-02  5.35037032e-02  1.89312912e-02  
    7.02000000e+00  4.67145965e-03  1.66707294e-01  5.28602600e-03  2.31813330e-02  5.36315628e-02  1.89359658e-02  
    7.04000000e+00  4.56665330e-03  1.65468516e-01  5.70501135e-03  2.26922976e-02  5.37548005e-02  1.89356333e-02  
    7.06000000e+00  4.46937340e-03  1.64234707e-01  6.12843147e-03  2.22106574e-02  5.38706953e-02  1.89398242e-02  
    7.08000000e+00  4.38016077e-03  1.63004393e-01  6.55293733e-03  2.17353849e-02  5.39858399e-02  1.89452721e-02  
    7.10000000e+00  4.30006051e-03  1.61778259e-01  6.97591950e-03  2.12708456e-02  5.41007711e-02  1.89527532e-02  
