# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    1.46000000e+00  1.07076460e-01  6.13362122e-01  2.08836982e-01  3.72618179e-01  2.07482027e-01  1.24882618e-01  
    1.48000000e+00  1.06774133e-01  6.12447161e-01  2.08350401e-01  3.71641130e-01  2.06748652e-01  1.24408336e-01  
    1.50000000e+00  1.06468131e-01  6.11515516e-01  2.07855357e-01  3.70644897e-01  2.06002573e-01  1.23925246e-01  
    1.52000000e+00  1.06158406e-01  6.10567260e-01  2.07351957e-01  3.69630125e-01  2.05244030e-01  1.23433289e-01  
    1.54000000e+00  1.05845077e-01  6.09602395e-01  2.06840302e-01  3.68596785e-01  2.04472789e-01  1.22932924e-01  
    1.56000000e+00  1.05528098e-01  6.08621625e-01  2.06320714e-01  3.67545457e-01  2.03689045e-01  1.22423490e-01  
    1.58000000e+00  1.05207561e-01  6.07624666e-01  2.05792884e-01  3.66476174e-01  2.02893435e-01  1.21906019e-01  
    1.60000000e+00  1.04883466e-01  6.06611558e-01  2.05256847e-01  3.65389260e-01  2.02085779e-01  1.21380228e-01  
    1.62000000e+00  1.04555829e-01  6.05582530e-01  2.04712706e-01  3.64284203e-01  2.01266383e-01  1.20845243e-01  
    1.64000000e+00  1.04224723e-01  6.04537434e-01  2.04160552e-01  3.63161256e-01  2.00434866e-01  1.20302352e-01  
    1.66000000e+00  1.03890193e-01  6.03476911e-01  2.03600725e-01  3.62021461e-01  1.99591480e-01  1.19751897e-01  
    1.68000000e+00  1.03552302e-01  6.02400881e-01  2.03032926e-01  3.60865345e-01  1.98737045e-01  1.19194588e-01  
    1.70000000e+00  1.03211056e-01  6.01309438e-01  2.02457184e-01  3.59692913e-01  1.97872201e-01  1.18631207e-01  
    1.72000000e+00  1.02866497e-01  6.00202911e-01  2.01873208e-01  3.58504752e-01  1.96996924e-01  1.18061474e-01  
    1.74000000e+00  1.02518739e-01  5.99081595e-01  2.01281803e-01  3.57301292e-01  1.96111274e-01  1.17485662e-01  
    1.76000000e+00  1.02167714e-01  5.97945712e-01  2.00682652e-01  3.56082559e-01  1.95215156e-01  1.16903449e-01  
    1.78000000e+00  1.01813507e-01  5.96795415e-01  2.00075913e-01  3.54848812e-01  1.94308868e-01  1.16314903e-01  
    1.80000000e+00  1.01456162e-01  5.95630918e-01  1.99461799e-01  3.53600232e-01  1.93393010e-01  1.15720177e-01  
    1.82000000e+00  1.01095681e-01  5.94452369e-01  1.98840149e-01  3.52337749e-01  1.92467833e-01  1.15119259e-01  
    1.84000000e+00  1.00732078e-01  5.93259767e-01  1.98210843e-01  3.51060380e-01  1.91533764e-01  1.14512148e-01  
    1.86000000e+00  1.00365225e-01  5.92053123e-01  1.97574044e-01  3.49767982e-01  1.90591023e-01  1.13898552e-01  
    1.88000000e+00  9.99952057e-02  5.90832609e-01  1.96929530e-01  3.48461247e-01  1.89639960e-01  1.13278901e-01  
    1.90000000e+00  9.96221311e-02  5.89598477e-01  1.96277833e-01  3.47140526e-01  1.88681292e-01  1.12654616e-01  
    1.92000000e+00  9.92458140e-02  5.88350173e-01  1.95618544e-01  3.45804175e-01  1.87715852e-01  1.12026528e-01  
    1.94000000e+00  9.88665419e-02  5.87088314e-01  1.94951871e-01  3.44453913e-01  1.86742409e-01  1.11394313e-01  
    1.96000000e+00  9.84844889e-02  5.85812890e-01  1.94277635e-01  3.43091051e-01  1.85761416e-01  1.10757322e-01  
    1.98000000e+00  9.80995286e-02  5.84523728e-01  1.93596025e-01  3.41714165e-01  1.84771464e-01  1.10115963e-01  
    2.00000000e+00  9.77117302e-02  5.83221184e-01  1.92907704e-01  3.40323761e-01  1.83774267e-01  1.09471633e-01  
    2.02000000e+00  9.73210760e-02  5.81905554e-01  1.92213108e-01  3.38920052e-01  1.82769746e-01  1.08824230e-01  
